	(1)	(2)	(3)	(4)
	GCA_2	GCA_3	GCA_1	GCA_POP
VARIABLES	gdpgpc	gdpgpc	gdpgpc	gdpgpc
				
L.gdpgpc	-0.0954	0.0352	-0.1064	0.1947**
	(0.1241)	(0.1347)	(0.0877)	(0.0919)
below_thres_enr	0.0842***	0.0702***	0.0695***	0.0574***
	(0.0268)	(0.0256)	(0.0269)	(0.0203)
above_thres_enr	0.0166	0.0108	0.0139	0.0148
	(0.0172)	(0.0155)	(0.0178)	(0.0124)
inv	0.0673**	0.0521*	0.1183***	0.0353*
	(0.0305)	(0.0277)	(0.0284)	(0.0212)
gov	-0.1454	-0.0399	0.1650*	0.0072
	(0.1322)	(0.1282)	(0.0965)	(0.0736)
tot	0.0107	0.0133	0.0046	-0.0001
	(0.0163)	(0.0149)	(0.0170)	(0.0116)
open	0.0015	-0.0029	0.0114	-0.0018
	(0.0140)	(0.0130)	(0.0145)	(0.0102)
inflation	-0.0841	-0.1359	-0.3120***	-0.1108
	(0.1052)	(0.0931)	(0.0837)	(0.0787)
bankingcrisislv	-2.1515	2.1715		4.5989
	(1.7009)	(4.6538)		(3.1879)
currencycrisislv	-13.2895***	-11.3361***		-1.3721
	(3.7521)	(3.3861)		(2.8969)
debtcrisislv	-7.6528	-0.0986		6.2877
	(9.3204)	(8.9767)		(4.8173)
debtrestruclv	0.3203	-0.2444		-0.3211
	(3.0820)	(2.7925)		(2.4838)
time_1997		-3.6401		-6.1342**
		(3.8994)		(2.7701)
time_1998				-6.9531***
				(1.8687)
time_2001				-3.4496***
				(0.9338)
time_2009		-2.5598**		-2.6280***
		(1.0499)		(0.9201)
time_2010		3.0285***		3.6332***
		(1.1447)		(0.9874)
Constant	-0.1837	0.1344	-1.6871	1.0512
	(3.3140)	(2.9314)	(3.4519)	(2.2781)
				
Observations	182	182	182	182
Number of cn	7	7	7	7
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
