	(1)	(2)	(3)	(4)	(5)	(6)
	ROB_BELOW	ROB_FE_BELOW	ROB_ABOVE	ROB_FE_ABOVE	ROB_PTR	ROB_TE_PTR
VARIABLES	gdpgpc	gdpgpc	gdpgpc	gdpgpc	gdpgpc	gdpgpc
						
creditgdp	0.0277*	0.0391**	0.0169	-0.0057		
	(0.0158)	(0.0164)	(0.0105)	(0.0112)		
inv	0.0259**	0.0155	0.1736***	0.1221***	0.0611***	0.0391***
	(0.0129)	(0.0157)	(0.0406)	(0.0416)	(0.0134)	(0.0136)
gov	0.0263	0.0414	-0.0497	-0.0373	0.0073	0.0155
	(0.0291)	(0.0320)	(0.0720)	(0.0641)	(0.0295)	(0.0276)
tot	0.0027	-0.0099	-0.0159	-0.0073	0.0021	-0.0039
	(0.0061)	(0.0076)	(0.0369)	(0.0378)	(0.0068)	(0.0070)
open	-0.0163	-0.0297*	-0.0060	-0.0136	-0.0041	-0.0065
	(0.0114)	(0.0149)	(0.0101)	(0.0098)	(0.0065)	(0.0066)
inflation	-0.1498***	-0.1785***	0.0457	-0.0221	-0.1051***	-0.1408***
	(0.0414)	(0.0450)	(0.1176)	(0.1467)	(0.0395)	(0.0390)
time_1993		-1.8159		3.5945*		4.1062***
		(1.3431)		(1.8474)		(1.3899)
time_1994		-0.0024		3.2764*		5.3281***
		(1.3086)		(1.8950)		(1.3498)
time_1995		0.4139		3.1852		5.4858***
		(1.3117)		(1.9660)		(1.3590)
time_1996		-0.8881		3.0345		4.0062***
		(1.3545)		(1.8203)		(1.3860)
time_1997		-5.0437**		2.0921		1.5990
		(2.1366)		(2.0247)		(1.7991)
time_1998		-2.7172*		-6.2708***		
		(1.6075)		(1.9706)		
time_1999		-1.3585		3.3947**		3.8908***
		(1.4452)		(1.3991)		(1.3704)
time_2000		-0.5403		1.5872		4.2070***
		(1.3253)		(1.6512)		(1.3830)
time_2001		-1.1552		-2.0003		1.6481
		(1.3774)		(1.3884)		(1.3629)
time_2002		-1.0312		2.5034*		3.5362**
		(1.4340)		(1.3454)		(1.3785)
time_2003		-0.2147		3.6033**		5.0079***
		(1.3741)		(1.3398)		(1.3658)
time_2004		0.6188		2.3699		4.9143***
		(1.3525)		(1.5986)		(1.3937)
time_2005		0.2997		0.6991		4.2346***
		(1.3960)		(1.7073)		(1.4111)
time_2006		1.1284		1.6943		5.1456***
		(1.4380)		(1.6758)		(1.4325)
time_2007		-0.2042		2.0884		4.1617***
		(1.3828)		(1.6187)		(1.4173)
time_2008		0.0386		-1.4994		2.9434**
		(1.4668)		(1.7272)		(1.4296)
time_2009		-2.9729**		-3.1393**		0.6106
		(1.4514)		(1.2378)		(1.3645)
time_2010		2.4275*		1.9421		6.5652***
		(1.3822)		(1.4608)		(1.3783)
time_2011		0.3512		0.9892		4.6162***
		(1.4696)		(1.5549)		(1.3795)
time_2012		-0.6247		1.0951		4.0304***
		(1.3754)		(1.4866)		(1.3713)
time_2013		-1.2868		0.4926		3.4695**
		(1.4145)		(1.2566)		(1.3503)
time_2014		-1.3018		0.3650		3.4782**
		(1.4247)		(1.2006)		(1.3481)
time_2015		-1.5936		0.4913		3.2305**
		(1.4130)		(1.1947)		(1.3423)
time_2016		-2.0402		0.2797		3.0509**
		(1.4175)		(1.1792)		(1.3374)
time_2017		-0.8427		1.5202		4.3347***
		(1.4072)		(1.1931)		(1.3431)
time_2018		-1.2111		1.3590		3.8053***
		(1.4157)		(1.1743)		(1.3445)
o.time_2019		-		-		
						
bankingcrisislv	-0.6659	3.5883	-2.4889	-2.7034	-2.1798**	0.1250
	(1.1989)	(2.2876)	(1.7757)	(2.4536)	(1.0541)	(1.6914)
currencycrisislv	-6.7952***	-3.5748	-5.4798**	0.8560	-9.0949***	-5.1187***
	(1.7717)	(2.1908)	(2.6965)	(2.9956)	(1.3736)	(1.6984)
debtcrisislv	-1.3602	0.2064			-0.8914	-0.8910
	(1.9733)	(2.1493)			(2.2799)	(2.1654)
debtrestruclv	0.8234	1.3812			2.1215	2.0935
	(1.4890)	(1.5591)			(1.6667)	(1.5321)
o.debtcrisislv			-	-		
						
o.debtrestruclv			-	-		
						
0b._cat#c.creditgdp					0.0534***	0.0448***
					(0.0112)	(0.0108)
1._cat#c.creditgdp					0.0131*	0.0121*
					(0.0069)	(0.0068)
o.time_1998						-
						
time_2019						3.6521***
						(1.3347)
Constant	3.7624***	6.8592***	3.5437	6.3458	1.5306	-0.8144
	(1.3619)	(1.9988)	(4.9280)	(4.6326)	(1.3236)	(1.5188)
						
Observations	108	108	81	81	189	189
R-squared	0.5593	0.7183	0.6065	0.8599	0.5366	0.6972
Number of cn	5	5	4	4	7	7
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
