horizon,q05_gpr_country,q05_inflation_ppt,q05_gdp_pct,q05_trade_to_gdp_ppt,q05_shortages_index,q05_milit_exp_to_gdp_ppt,q05_debt_to_gdp_ppt,q05_money_growth_ppt,q05_govt_exp_to_gdp_ppt,q50_gpr_country,q50_inflation_ppt,q50_gdp_pct,q50_trade_to_gdp_ppt,q50_shortages_index,q50_milit_exp_to_gdp_ppt,q50_debt_to_gdp_ppt,q50_money_growth_ppt,q50_govt_exp_to_gdp_ppt,q95_gpr_country,q95_inflation_ppt,q95_gdp_pct,q95_trade_to_gdp_ppt,q95_shortages_index,q95_milit_exp_to_gdp_ppt,q95_debt_to_gdp_ppt,q95_money_growth_ppt,q95_govt_exp_to_gdp_ppt
0,1,.9850809997408559,-.8039520296124959,-.7103366377676125,.4293298688986408,.8328000734614524,.7325472877519006,.5378232113466908,.8216100360054756,1,1.368159771931402,-.6204473831443834,-.4603529390155299,.4582416320591484,.9214653339985841,1.126587342857873,.9574818904512268,.9345690127306765,1,1.736749350672634,-.4406174726958411,-.2146520692564357,.4863577712396424,1.012880305492217,1.524941816528218,1.386665044452666,1.050652255976677
1,.6274331055445465,1.5145010728958,-1.114398476228212,-.9097425403234506,.3547935490052693,1.12675217578917,1.56156952172942,.9366635062372172,.9639980919552367,.6499681113949152,1.945704643217435,-.8804452929747085,-.6205464078376253,.3850363806232054,1.228686235601817,2.064187044225561,1.363047350077899,1.111662371230832,.6720033627728005,2.362885044908744,-.6578101595734799,-.3257151388002379,.4168964692127403,1.335466646507141,2.547590902991395,1.776856635817196,1.254889901423859
2,.4080803525391433,1.726824285762212,-1.4025892986041,-1.035197151270049,.2816702876765323,1.175090268703278,1.99898797738437,1.164119783811514,1.005072838709696,.4360219088189113,2.225798012180802,-1.117760006685971,-.6882740897342081,.313883623867404,1.296495854344081,2.621251709299466,1.613451115687129,1.185727164858621,.4644056386309565,2.70900951563654,-.8312323999871908,-.3436171994341889,.3488507447855407,1.422418033679177,3.21521078450286,2.047644194872049,1.363667736953271
3,.2744284165222964,1.806014226504741,-1.635418725044765,-1.065898569621693,.2228805998430699,1.110904750887275,2.231216527435637,1.287397699240186,.9923001424126062,.3014526311059218,2.323595722953536,-1.311358938831292,-.6930771851810074,.2538282560590219,1.238780058664889,2.939402086333686,1.730233809921177,1.196871174189009,.3294931817175592,2.836604503750332,-.9868041041386973,-.3339188696251056,.2866227240115481,1.376351882955497,3.621066914823066,2.164743069894361,1.398353823598939
4,.1901728580550432,1.791831537824635,-1.814997499904142,-1.032296865062329,.176756763343878,.9930280785413702,2.356048220793549,1.323757415407556,.9520113588327902,.2145026042837398,2.309117488005214,-1.463938304776337,-.6695651759033957,.2048079928893814,1.123230615634817,3.106671637240586,1.751960128066267,1.16947355406973,.240682645399191,2.819256439854967,-1.112660224565545,-.3119136582728014,.2349453610314828,1.261608180671116,3.839980167239,2.18280444400007,1.389024387596486
5,.1347967593319638,1.725801891430632,-1.949310449222634,-.9684775577215629,.1404020897628588,.860469069377499,2.397150962381016,1.294073454409894,.8942822816330973,.1564098834460653,2.220149905942168,-1.580731534226151,-.6225118970033472,.1658358516788745,.9852677330167872,3.170479820256505,1.708187526476648,1.120085887326559,.1804305887384079,2.71407315715638,-1.212940582969931,-.2759034382598645,.1931819827781173,1.122129346789372,3.929208487430965,2.122690327889886,1.344413907839888
6,.0971078996935123,1.613926263917236,-2.049907204575069,-.893848012168719,.1121709288318954,.7253221659072935,2.381087379812595,1.224729028636686,.8282941243346008,.1165330696737883,2.084793737052865,-1.667137174159327,-.5674345261126195,.1351292535920689,.8429870855166954,3.166304803844456,1.620743702240088,1.056221164452845,.1379758170671161,2.564492753229328,-1.282778011133505,-.235120585505473,.1603010488238444,.9737217604907937,3.946793382017007,2.02185423568542,1.286066359761531
7,.0705645182958416,1.479231658094638,-2.116754042781391,-.8151025946736682,.0899632950306775,.5991655816607258,2.321940804347711,1.132261855953464,.7570018145214135,.0880305704250986,1.922285920274139,-1.724465934163872,-.5068217339413443,.1109369636992379,.7082555010733473,3.117060846983797,1.503319990939749,.9844819674757976,.1075439289956042,2.383209520613673,-1.336186228258508,-.1933407913339379,.13396255367925,.8335189323142942,3.904013537891849,1.880848548525113,1.218860929867011
8,.0513385901141185,1.325760425740779,-2.159867967010952,-.7366902000263037,.0724081518414204,.484637044129547,2.241634623533277,1.020050656338117,.6835991534237921,.0670838484213908,1.745844530250771,-1.761294045061866,-.4448658038780764,.0916777893365973,.5861717436141483,3.029131166145183,1.367312270863938,.9108173077073345,.0853042066726576,2.18722819188102,-1.367468289951623,-.1525022495159877,.1134441228317742,.7049026527618201,3.830366165380835,1.729571635337869,1.143061466791511
9,.0372337616383303,1.164518946208421,-2.178126939323805,-.6609360709696064,.0581941167879782,.3830111190405868,2.148464158079432,.8979645557348035,.6094789557545546,.0516239499143577,1.557872102102181,-1.778138946027576,-.3834082069065797,.0762738979589465,.4786788302145633,2.921614555905611,1.224723407049736,.8377449339342009,.0682455847702643,1.97794678853807,-1.385734197926044,-.1093418659024624,.0966693537893695,.5893010908940504,3.731298029707204,1.568723420762333,1.067831248131788
