dates,CCI_OECD,CCI_OECDE,FXTWBDI,GSCOMM,US_PPCE,PZTEXP,GPR,GPRT,GPRA,GFDWLDINF,GFDFTWORLD,MWRDPPP_GDP_DET,RPZTEXP,RGSCOMM,RGFDFTWORLD,LNGPR,LNGPRT,LNGPRA
1/1/1970,,,,101.39,19.377,3.35,114.30558,106.45992,116.4687,5.8015089,26.7545,,17.288538,523.24921,138.07349,473.8875389,466.7768576,475.7622567
2/1/1970,,,,103.1,19.454,3.35,113.88655,105.53148,114.63219,5.9928894,27.5294,,17.220108,529.96814,141.51022,473.5202777,465.9009297,474.1728655
3/1/1970,,,,105.56,19.502,3.35,108.93523,87.606911,123.38503,5.9061103,27.5567,,17.177725,541.27783,141.30191,469.0753485,447.2859888,481.5309791
4/1/1970,,,,103.1,19.601,3.35,108.29139,79.343224,128.46228,5.9156222,24.9238,,17.090965,525.99359,127.15575,468.4825649,437.378305,485.563532
5/1/1970,,,,101.19,19.663,3.35,151.49146,116.00743,184.52718,6.0060067,23.2944,,17.037075,514.6214,118.46819,502.0529254,475.3654241,521.779677
6/1/1970,,,,102.35,19.714,3.35,115.01668,79.187721,150.24014,5.8266935,22.6633,,16.993,519.17419,114.96043,474.5077161,437.1821249,501.2234947
7/1/1970,,,,102.02,19.786,3.31,133.10281,124.92,129.52391,5.6607208,24.0112,,16.729,515.61713,121.35449,489.1121837,482.7673532,486.3865497
8/1/1970,,,,102.81,19.838,3.31,130.96762,115.29671,144.95699,5.6296296,24.7464,,16.68515,518.2478,124.74242,487.4950117,474.7508893,497.6437078
9/1/1970,,,,105.88,19.927,3.31,217.05499,183.40361,248.34038,5.7719722,25.4881,,16.610628,531.33942,127.90736,538.0150732,521.1689243,551.4800305
10/1/1970,,,,106.16,20.026,3.31,139.45993,120.78535,145.71172,6.0442762,25.0555,,16.528513,530.11084,125.11485,493.777732,479.4015003,498.1630149
11/1/1970,,,,105.44,20.105,3.31,88.1866,97.080551,75.808456,6.1972632,25.5582,,16.463566,524.44666,127.1236,447.9455024,457.5541057,432.8209843
12/1/1970,,,,104,20.194,3.56,89.978539,82.850227,88.108765,6.0679593,26.7667,,17.628998,515.00446,132.54779,449.9571186,441.7034484,447.8572017
1/1/1971,,,,107.64,20.237,3.56,101.70838,92.217606,108.07713,5.8257122,27.9385,,17.591539,531.89703,138.05653,462.2109699,452.4151067,468.2845139
2/1/1971,,,,110.99,20.296,3.56,121.87318,120.88148,128.81038,5.7498789,28.1755,,17.540401,546.85651,138.82292,480.2980996,479.4810561,485.83414
3/1/1971,,,,108.73,20.363,3.56,107.90684,95.053368,113.32467,5.624404,29.3542,,17.482689,533.95868,144.15459,468.1268262,455.4438502,473.0256885
4/1/1971,,,,108.91,20.443,3.56,113.98463,94.610405,125.79533,5.5601301,30.2569,,17.414274,532.74957,148.00616,473.6063615,454.9767459,483.4656221
5/1/1971,,,,106.39,20.528,3.56,89.548401,70.572708,105.99454,5.7601504,29.4825,,17.342167,518.26776,143.62091,449.4779272,425.6643498,466.3387583
6/1/1971,,,,107.82,20.619,3.56,90.15181,82.297539,98.646324,5.9764714,29.7243,,17.265629,522.91577,144.15976,450.1495027,441.0341204,459.1540969
7/1/1971,,,,105.55,20.681,3.56,116.08878,109.68445,117.65361,6.0334039,29.1921,,17.213867,510.37183,141.15421,475.4355243,469.7607607,476.7744799
8/1/1971,,,,104.93,20.741,3.56,97.841728,93.380211,93.061363,6.1243577,29.7714,,17.164072,505.90619,143.53888,458.3351153,453.6679449,453.3259093
9/1/1971,,,,103.75,20.772,3.56,95.921844,91.311508,86.030914,6.0901914,29.4305,,17.138456,499.47043,141.68352,456.3533735,451.4276826,445.4706697
10/1/1971,,,,105.98,20.804,3.56,101.86267,103.51574,90.456635,5.8660517,28.2564,,17.112093,509.42126,135.82196,462.3625534,463.9723678,450.4870565
11/1/1971,,,,108.29,20.847,3.56,112.60488,120.2058,98.295387,5.705039,28.4367,,17.076797,519.45123,136.40668,472.3885054,478.9205274,458.7977098
12/1/1971,,,,110.46,20.929,3.56,134.92668,114.91473,156.41969,5.6750593,30.9399,,17.009892,527.78442,147.83267,490.473152,474.4190375,505.2542715
1/1/1972,,,,113.27,21.015,3.56,107.67568,92.116371,120.98698,5.5959973,32.0132,,16.940281,538.99597,152.33499,467.9123746,452.305268,479.5682937
2/1/1972,,,,111.56,21.098,3.56,96.545647,83.507774,108.33786,5.7997284,33.181,,16.873638,528.77051,157.27083,457.0015922,442.4939729,468.5254677
3/1/1972,,,,111.34,21.128,3.56,85.073952,68.163857,102.20372,5.8664255,33.581,,16.849678,526.97839,158.94073,444.3520902,422.1914468,462.6968076
4/1/1972,,,,111.99,21.16,3.56,130.44696,97.526756,164.27785,5.7399125,33.9662,,16.824196,529.2533,160.5208,487.0966707,458.0126761,510.1559202
5/1/1972,,,,112.79,21.207,3.56,157.06137,155.09183,154.88695,5.7589264,34.5987,,16.786909,531.85266,163.14755,505.6636621,504.4017393,504.2695496
6/1/1972,,,,113.84,21.239,3.56,126.81707,113.30937,131.32846,5.6394286,33.7354,,16.761618,535.99512,158.83705,484.2745654,473.0121865,487.7701513
7/1/1972,,,,113.89,21.315,3.56,97.44413,83.960052,100.57963,5.7913356,34.1967,,16.701853,534.31854,160.43491,457.9279188,443.0341114,461.0949752
