firm_id,year_id,kstock
F1,Y1935,2.8
F1,Y1936,52.599998
F1,Y1937,156.89999
F1,Y1938,209.2
F1,Y1939,203.39999
F1,Y1940,207.2
F1,Y1941,255.2
F1,Y1942,303.70001
F1,Y1943,264.10001
F1,Y1944,201.60001
F1,Y1945,265
F1,Y1946,402.20001
F1,Y1947,761.5
F1,Y1948,922.40002
F1,Y1949,1020.1
F1,Y1950,1099
F1,Y1951,1207.7
F1,Y1952,1430.5
F1,Y1953,1777.3
F1,Y1954,2226.3
F2,Y1935,53.799999
F2,Y1936,50.5
F2,Y1937,118.1
F2,Y1938,260.20001
F2,Y1939,312.70001
F2,Y1940,254.2
F2,Y1941,261.39999
F2,Y1942,298.70001
F2,Y1943,301.79999
F2,Y1944,279.10001
F2,Y1945,213.8
F2,Y1946,132.60001
F2,Y1947,264.79999
F2,Y1948,306.89999
F2,Y1949,351.10001
F2,Y1950,357.79999
F2,Y1951,342.10001
F2,Y1952,444.20001
F2,Y1953,623.59998
F2,Y1954,669.70001
F3,Y1935,97.800003
F3,Y1936,104.4
F3,Y1937,118
F3,Y1938,156.2
F3,Y1939,172.60001
F3,Y1940,186.60001
F3,Y1941,220.89999
F3,Y1942,287.79999
F3,Y1943,319.89999
F3,Y1944,321.29999
F3,Y1945,319.60001
F3,Y1946,346
F3,Y1947,456.39999
F3,Y1948,543.40002
F3,Y1949,618.29999
F3,Y1950,647.40002
F3,Y1951,671.29999
F3,Y1952,726.09998
F3,Y1953,800.29999
F3,Y1954,888.90002
F4,Y1935,10.5
F4,Y1936,10.2
F4,Y1937,34.700001
F4,Y1938,51.799999
F4,Y1939,64.300003
F4,Y1940,67.099998
F4,Y1941,75.199997
F4,Y1942,71.400002
F4,Y1943,67.099998
F4,Y1944,60.5
F4,Y1945,54.599998
F4,Y1946,84.800003
F4,Y1947,96.800003
F4,Y1948,110.2
F4,Y1949,147.39999
F4,Y1950,163.2
F4,Y1951,203.5
F4,Y1952,290.60001
F4,Y1953,346.10001
F4,Y1954,414.89999
F5,Y1935,183.2
F5,Y1936,204
F5,Y1937,236
F5,Y1938,291.70001
F5,Y1939,323.10001
F5,Y1940,344
F5,Y1941,367.70001
F5,Y1942,407.20001
F5,Y1943,426.60001
F5,Y1944,470
F5,Y1945,499.20001
F5,Y1946,534.59998
F5,Y1947,566.59998
F5,Y1948,595.29999
F5,Y1949,631.40002
F5,Y1950,662.29999
F5,Y1951,683.90002
F5,Y1952,729.29999
F5,Y1953,774.29999
F5,Y1954,804.90002
F6,Y1935,6.5
F6,Y1936,15.8
F6,Y1937,27.700001
F6,Y1938,39.200001
F6,Y1939,48.599998
F6,Y1940,52.5
F6,Y1941,61.5
F6,Y1942,80.5
F6,Y1943,94.400002
F6,Y1944,92.599998
F6,Y1945,92.300003
F6,Y1946,94.199997
F6,Y1947,111.4
F6,Y1948,127.4
F6,Y1949,149.3
F6,Y1950,164.39999
F6,Y1951,177.2
F6,Y1952,200
F6,Y1953,211.5
F6,Y1954,238.7
F7,Y1935,100.2
F7,Y1936,125
F7,Y1937,142.39999
F7,Y1938,165.10001
F7,Y1939,194.8
F7,Y1940,222.89999
F7,Y1941,252.10001
F7,Y1942,276.29999
F7,Y1943,300.29999
F7,Y1944,318.20001
F7,Y1945,336.20001
F7,Y1946,351.20001
F7,Y1947,373.60001
F7,Y1948,389.39999
F7,Y1949,406.70001
F7,Y1950,429.5
F7,Y1951,450.60001
F7,Y1952,466.89999
F7,Y1953,486.20001
F7,Y1954,511.29999
F8,Y1935,1.8
F8,Y1936,.80000001
F8,Y1937,7.4000001
F8,Y1938,18.1
F8,Y1939,23.5
F8,Y1940,26.5
F8,Y1941,36.200001
F8,Y1942,60.799999
F8,Y1943,84.400002
F8,Y1944,91.199997
F8,Y1945,92.400002
F8,Y1946,86
F8,Y1947,111.1
F8,Y1948,130.60001
F8,Y1949,141.8
F8,Y1950,136.7
F8,Y1951,129.7
F8,Y1952,145.5
F8,Y1953,174.8
F8,Y1954,213.5
F9,Y1935,162
F9,Y1936,174
F9,Y1937,183
F9,Y1938,198
F9,Y1939,208
F9,Y1940,223
F9,Y1941,234
F9,Y1942,248
F9,Y1943,274
F9,Y1944,282
F9,Y1945,316
F9,Y1946,302
F9,Y1947,333
F9,Y1948,359
F9,Y1949,370
F9,Y1950,376
F9,Y1951,391
F9,Y1952,414
F9,Y1953,443
F9,Y1954,468
F10,Y1935,4.5
F10,Y1936,4.71
F10,Y1937,4.5700002
F10,Y1938,4.5599999
F10,Y1939,4.3800001
F10,Y1940,4.21
F10,Y1941,4.1199999
F10,Y1942,3.8299999
F10,Y1943,3.5799999
F10,Y1944,3.4100001
F10,Y1945,3.3099999
F10,Y1946,3.23
F10,Y1947,3.9000001
F10,Y1948,5.3800001
F10,Y1949,7.3899999
F10,Y1950,8.7399998
F10,Y1951,9.0699997
F10,Y1952,9.9300003
F10,Y1953,11.68
F10,Y1954,14.33
