firm_id,year_id,invest
F1,Y1935,317.60001
F1,Y1936,391.79999
F1,Y1937,410.60001
F1,Y1938,257.70001
F1,Y1939,330.79999
F1,Y1940,461.20001
F1,Y1941,512
F1,Y1942,448
F1,Y1943,499.60001
F1,Y1944,547.5
F1,Y1945,561.20001
F1,Y1946,688.09998
F1,Y1947,568.90002
F1,Y1948,529.20001
F1,Y1949,555.09998
F1,Y1950,642.90002
F1,Y1951,755.90002
F1,Y1952,891.20001
F1,Y1953,1304.4
F1,Y1954,1486.7
F2,Y1935,209.89999
F2,Y1936,355.29999
F2,Y1937,469.89999
F2,Y1938,262.29999
F2,Y1939,230.39999
F2,Y1940,361.60001
F2,Y1941,472.79999
F2,Y1942,445.60001
F2,Y1943,361.60001
F2,Y1944,288.20001
F2,Y1945,258.70001
F2,Y1946,420.29999
F2,Y1947,420.5
F2,Y1948,494.5
F2,Y1949,405.10001
F2,Y1950,418.79999
F2,Y1951,588.20001
F2,Y1952,645.5
F2,Y1953,641
F2,Y1954,459.29999
F3,Y1935,33.099998
F3,Y1936,45
F3,Y1937,77.199997
F3,Y1938,44.599998
F3,Y1939,48.099998
F3,Y1940,74.400002
F3,Y1941,113
F3,Y1942,91.900002
F3,Y1943,61.299999
F3,Y1944,56.799999
F3,Y1945,93.599998
F3,Y1946,159.89999
F3,Y1947,147.2
F3,Y1948,146.3
F3,Y1949,98.300003
F3,Y1950,93.5
F3,Y1951,135.2
F3,Y1952,157.3
F3,Y1953,179.5
F3,Y1954,189.60001
F4,Y1935,40.290001
F4,Y1936,72.760002
F4,Y1937,66.260002
F4,Y1938,51.599998
F4,Y1939,52.41
F4,Y1940,69.410004
F4,Y1941,68.349998
F4,Y1942,46.799999
F4,Y1943,47.400002
F4,Y1944,59.57
F4,Y1945,88.779999
F4,Y1946,74.120003
F4,Y1947,62.68
F4,Y1948,89.360001
F4,Y1949,78.980003
F4,Y1950,100.66
F4,Y1951,160.62
F4,Y1952,145
F4,Y1953,174.92999
F4,Y1954,172.49001
F5,Y1935,39.68
F5,Y1936,50.73
F5,Y1937,74.239998
F5,Y1938,53.509998
F5,Y1939,42.650002
F5,Y1940,46.48
F5,Y1941,61.400002
F5,Y1942,39.669998
F5,Y1943,62.240002
F5,Y1944,52.32
F5,Y1945,63.209999
F5,Y1946,59.369999
F5,Y1947,58.02
F5,Y1948,70.339996
F5,Y1949,67.419998
F5,Y1950,55.740002
F5,Y1951,80.300003
F5,Y1952,85.400002
F5,Y1953,91.900002
F5,Y1954,81.43
F6,Y1935,20.360001
F6,Y1936,25.98
F6,Y1937,25.940001
F6,Y1938,27.530001
F6,Y1939,24.6
F6,Y1940,28.540001
F6,Y1941,43.41
F6,Y1942,42.810001
F6,Y1943,27.84
F6,Y1944,32.599998
F6,Y1945,39.029999
F6,Y1946,50.169998
F6,Y1947,51.849998
F6,Y1948,64.029999
F6,Y1949,68.160004
F6,Y1950,77.339996
F6,Y1951,95.300003
F6,Y1952,99.489998
F6,Y1953,127.52
F6,Y1954,135.72
F7,Y1935,24.43
F7,Y1936,23.209999
F7,Y1937,32.779999
F7,Y1938,32.540001
F7,Y1939,26.65
F7,Y1940,33.709999
F7,Y1941,43.5
F7,Y1942,34.459999
F7,Y1943,44.279999
F7,Y1944,70.800003
F7,Y1945,44.119999
F7,Y1946,48.98
F7,Y1947,48.509998
F7,Y1948,50
F7,Y1949,50.59
F7,Y1950,42.529999
F7,Y1951,64.769997
F7,Y1952,72.68
F7,Y1953,73.860001
F7,Y1954,89.510002
F8,Y1935,12.93
F8,Y1936,25.9
F8,Y1937,35.049999
F8,Y1938,22.889999
F8,Y1939,18.84
F8,Y1940,28.57
F8,Y1941,48.509998
F8,Y1942,43.34
F8,Y1943,37.02
F8,Y1944,37.810001
F8,Y1945,39.27
F8,Y1946,53.459999
F8,Y1947,55.560001
F8,Y1948,49.560001
F8,Y1949,32.040001
F8,Y1950,32.240002
F8,Y1951,54.380001
F8,Y1952,71.779999
F8,Y1953,90.080002
F8,Y1954,68.599998
F9,Y1935,26.629999
F9,Y1936,23.389999
F9,Y1937,30.65
F9,Y1938,20.889999
F9,Y1939,28.780001
F9,Y1940,26.93
F9,Y1941,32.080002
F9,Y1942,32.209999
F9,Y1943,35.689999
F9,Y1944,62.470001
F9,Y1945,52.32
F9,Y1946,56.950001
F9,Y1947,54.32
F9,Y1948,40.529999
F9,Y1949,32.540001
F9,Y1950,43.48
F9,Y1951,56.490002
F9,Y1952,65.980003
F9,Y1953,66.110001
F9,Y1954,49.34
F10,Y1935,2.54
F10,Y1936,2
F10,Y1937,2.1900001
F10,Y1938,1.99
F10,Y1939,2.03
F10,Y1940,1.8099999
F10,Y1941,2.1400001
F10,Y1942,1.86
F10,Y1943,.93000001
F10,Y1944,1.1799999
F10,Y1945,1.36
F10,Y1946,2.24
F10,Y1947,3.8099999
F10,Y1948,5.6599998
F10,Y1949,4.21
F10,Y1950,3.4200001
F10,Y1951,4.6700001
F10,Y1952,6
F10,Y1953,6.5300002
F10,Y1954,5.1199999
