firm_id,year_id,mvalue
F1,Y1935,3078.5
F1,Y1936,4661.7002
F1,Y1937,5387.1001
F1,Y1938,2792.2
F1,Y1939,4313.2002
F1,Y1940,4643.8999
F1,Y1941,4551.2002
F1,Y1942,3244.1001
F1,Y1943,4053.7
F1,Y1944,4379.2998
F1,Y1945,4840.8999
F1,Y1946,4900.8999
F1,Y1947,3526.5
F1,Y1948,3254.7
F1,Y1949,3700.2
F1,Y1950,3755.6001
F1,Y1951,4833
F1,Y1952,4924.8999
F1,Y1953,6241.7002
F1,Y1954,5593.6001
F2,Y1935,1362.4
F2,Y1936,1807.1
F2,Y1937,2676.3
F2,Y1938,1801.9
F2,Y1939,1957.3
F2,Y1940,2202.8999
F2,Y1941,2380.5
F2,Y1942,2168.6001
F2,Y1943,1985.1
F2,Y1944,1813.9
F2,Y1945,1850.2
F2,Y1946,2067.7
F2,Y1947,1796.7
F2,Y1948,1625.8
F2,Y1949,1667
F2,Y1950,1677.4
F2,Y1951,2289.5
F2,Y1952,2159.3999
F2,Y1953,2031.3
F2,Y1954,2115.5
F3,Y1935,1170.6
F3,Y1936,2015.8
F3,Y1937,2803.3
F3,Y1938,2039.7
F3,Y1939,2256.2
F3,Y1940,2132.2
F3,Y1941,1834.1
F3,Y1942,1588
F3,Y1943,1749.4
F3,Y1944,1687.2
F3,Y1945,2007.7
F3,Y1946,2208.3
F3,Y1947,1656.7
F3,Y1948,1604.4
F3,Y1949,1431.8
F3,Y1950,1610.5
F3,Y1951,1819.4
F3,Y1952,2079.7
F3,Y1953,2371.6001
F3,Y1954,2759.8999
F4,Y1935,417.5
F4,Y1936,837.79999
F4,Y1937,883.90002
F4,Y1938,437.89999
F4,Y1939,679.70001
F4,Y1940,727.79999
F4,Y1941,643.59998
F4,Y1942,410.89999
F4,Y1943,588.40002
F4,Y1944,698.40002
F4,Y1945,846.40002
F4,Y1946,893.79999
F4,Y1947,579
F4,Y1948,694.59998
F4,Y1949,590.29999
F4,Y1950,693.5
F4,Y1951,809
F4,Y1952,727
F4,Y1953,1001.5
F4,Y1954,703.20001
F5,Y1935,157.7
F5,Y1936,167.89999
F5,Y1937,192.89999
F5,Y1938,156.7
F5,Y1939,191.39999
F5,Y1940,185.5
F5,Y1941,199.60001
F5,Y1942,189.5
F5,Y1943,151.2
F5,Y1944,187.7
F5,Y1945,214.7
F5,Y1946,232.89999
F5,Y1947,249
F5,Y1948,224.5
F5,Y1949,237.3
F5,Y1950,240.10001
F5,Y1951,327.29999
F5,Y1952,359.39999
F5,Y1953,398.39999
F5,Y1954,365.70001
F6,Y1935,197
F6,Y1936,210.3
F6,Y1937,223.10001
F6,Y1938,216.7
F6,Y1939,286.39999
F6,Y1940,298
F6,Y1941,276.89999
F6,Y1942,272.60001
F6,Y1943,287.39999
F6,Y1944,330.29999
F6,Y1945,324.39999
F6,Y1946,401.89999
F6,Y1947,407.39999
F6,Y1948,409.20001
F6,Y1949,482.20001
F6,Y1950,673.79999
F6,Y1951,676.90002
F6,Y1952,702
F6,Y1953,793.5
F6,Y1954,927.29999
F7,Y1935,138
F7,Y1936,200.10001
F7,Y1937,210.10001
F7,Y1938,161.2
F7,Y1939,161.7
F7,Y1940,145.10001
F7,Y1941,110.6
F7,Y1942,98.099998
F7,Y1943,108.8
F7,Y1944,118.2
F7,Y1945,126.5
F7,Y1946,156.7
F7,Y1947,119.4
F7,Y1948,129.10001
F7,Y1949,134.8
F7,Y1950,140.8
F7,Y1951,179
F7,Y1952,178.10001
F7,Y1953,186.8
F7,Y1954,192.7
F8,Y1935,191.5
F8,Y1936,516
F8,Y1937,729
F8,Y1938,560.40002
F8,Y1939,519.90002
F8,Y1940,628.5
F8,Y1941,537.09998
F8,Y1942,561.20001
F8,Y1943,617.20001
F8,Y1944,626.70001
F8,Y1945,737.20001
F8,Y1946,760.5
F8,Y1947,581.40002
F8,Y1948,662.29999
F8,Y1949,583.79999
F8,Y1950,635.20001
F8,Y1951,723.79999
F8,Y1952,864.09998
F8,Y1953,1193.5
F8,Y1954,1188.9
F9,Y1935,290.60001
F9,Y1936,291.10001
F9,Y1937,335
F9,Y1938,246
F9,Y1939,356.20001
F9,Y1940,289.79999
F9,Y1941,268.20001
F9,Y1942,213.3
F9,Y1943,348.20001
F9,Y1944,374.20001
F9,Y1945,387.20001
F9,Y1946,347.39999
F9,Y1947,291.89999
F9,Y1948,297.20001
F9,Y1949,276.89999
F9,Y1950,274.60001
F9,Y1951,339.89999
F9,Y1952,474.79999
F9,Y1953,496
F9,Y1954,474.5
F10,Y1935,70.910004
F10,Y1936,87.940002
F10,Y1937,82.199997
F10,Y1938,58.720001
F10,Y1939,80.540001
F10,Y1940,86.470001
F10,Y1941,77.68
F10,Y1942,62.16
F10,Y1943,62.240002
F10,Y1944,61.82
F10,Y1945,65.849998
F10,Y1946,69.540001
F10,Y1947,64.970001
F10,Y1948,68
F10,Y1949,71.239998
F10,Y1950,69.050003
F10,Y1951,83.040001
F10,Y1952,74.419998
F10,Y1953,63.509998
F10,Y1954,58.119999
